"ID","Type","Name","Documentation","Specialization"
"id-01a87cff38954e2b951c3ca8692ef61f","Artifact","Application Interaction.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/3. Application/Application Interaction.ajs | Tiefe: 6",""
"id-02532c262ab1409980c89f5891ca608a","Artifact","Aggregation Relationship.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/8. Relations/Aggregation Relationship.ajs | Tiefe: 6",""
"id-03ca025fb08e46d2970a7e2903d01bbf","Artifact","main.js","Datei | Pfad: .obsidian/plugins/obsidian-importer/main.js | Tiefe: 4",""
"id-03ed18b6e2a84f449c5e087f07ade58c","Artifact","04-import","Ordner | Pfad: 01-artifacts/00-xml/04-import | Tiefe: 3",""
"id-0435284fc6b142ba9e9f87fce50c1ded","Artifact","bpmnmastercsvsync.txt","Datei | Pfad: 01-artifacts/00-xml/01-mapping/bpmnmastercsvsync.txt | Tiefe: 4",""
"id-044458e30ff3422495926e50103a54dd","Artifact","mapping.txt","Datei | Pfad: 01-artifacts/00-xml/01-mapping/mapping.txt | Tiefe: 4",""
"id-050be3e179f04fb986a7302f664110ce","Artifact","CLE51-stages_archimate.py","Datei | Pfad: 01-artifacts/01-scripts/CLE51-stages_archimate.py | Tiefe: 3",""
"id-0615f131ce3842d2bc139f186465c71a","Artifact","sync.txt","Datei | Pfad: 01-artifacts/00-xml/02-sync/sync.txt | Tiefe: 4",""
"id-06468f3b677a4b819b9a5675d1b5bcf5","Artifact","elements.csv","Datei | Pfad: 01-artifacts/02-csv/04-import/elements.csv | Tiefe: 4",""
"id-0817f4f21efc4b4ca82fcecabecbc8cb","Artifact","plugins","Ordner | Pfad: .obsidian/plugins | Tiefe: 2",""
"id-0a57f372ce8b4c71a5f270780b4c6c43","Artifact","MUNI EA.xml","Datei | Pfad: 01-artifacts/00-xml/03-child/00-archimatechild/MUNI EA.xml | Tiefe: 5",""
"id-0acc38ba00704fbc8692f1c29051100d","Artifact","M2B07-scope_snapshot.py","Datei | Pfad: 01-artifacts/01-scripts/M2B07-scope_snapshot.py | Tiefe: 3",""
"id-0b0ad0b07f414f53aeaf8f88c800af1c","Artifact","__pycache__","Ordner | Pfad: 01-artifacts/01-scripts/__pycache__ | Tiefe: 3",""
"id-0c841182f06f463cbd28862b0c7ca0d6","Artifact","Business Process.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/2. Business/Business Process.ajs | Tiefe: 6",""
"id-0cc115d43e3d466f9b26ecde7d95ac02","Artifact","Equipment.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/4. Technology & Physical/Equipment.ajs | Tiefe: 6",""
"id-1044a953fd934b0eb558a7aa8a9fd233","Artifact","ATL02-atlCsv2JiraCsv.py","Datei | Pfad: 01-artifacts/01-scripts/ATL02-atlCsv2JiraCsv.py | Tiefe: 3",""
"id-114411d9f3ac4c3eaae49732b61c7489","Artifact","model-scope.txt","Datei | Pfad: 02-stages/model-scope.txt | Tiefe: 2",""
"id-11ddfb46906a4587a006711a04e8ea5b","Artifact","run-scope_ReadMe.txt","Datei | Pfad: 02-stages/run-scope_ReadMe.txt | Tiefe: 2",""
"id-12e8098b18cb4f6ba10311d9840e92e4","Artifact","README.md","Datei | Pfad: README.md | Tiefe: 1",""
"id-132aee7f167c4fcf809504662699ccb0","Artifact","HLP02_move.py","Datei | Pfad: 01-artifacts/01-scripts/HLP02_move.py | Tiefe: 3",""
"id-13d7f2ec2cf44d4da514c326315343fa","Artifact","CSV00-validate_environment.py","Datei | Pfad: 01-artifacts/01-scripts/CSV00-validate_environment.py | Tiefe: 3",""
"id-149d8a16d010450dbaaf334a06b12494","Artifact","99-html","Ordner | Pfad: 01-artifacts/05-reports/99-html | Tiefe: 3",""
"id-15b90b8e724b42bfb46073a370f5868d","Artifact","Triggering Relationship.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/8. Relations/Triggering Relationship.ajs | Tiefe: 6",""
"id-17ab257994314318b65d60511c871782","Artifact","MUNI FLOW.xml","Datei | Pfad: 01-artifacts/00-xml/03-child/00-archimatechild/MUNI FLOW.xml | Tiefe: 5",""
"id-18121cbe65584f7ab4cd4994e0f794eb","Artifact","CLE24-csv_import.py","Datei | Pfad: 01-artifacts/01-scripts/CLE24-csv_import.py | Tiefe: 3",""
"id-1856ee15703b41dbaa0dd0e0535bfcec","Artifact","XML02-parse_child_xml.py","Datei | Pfad: 01-artifacts/01-scripts/XML02-parse_child_xml.py | Tiefe: 3",""
"id-18bd43fc297f4cd0a04ed8a6d337dd94","Artifact","2. Business","Ordner | Pfad: 01-artifacts/01-scripts/examples/Change type to/2. Business | Tiefe: 5",""
"id-19aca32b7ecb4b34a5fdaab954fd1850","Artifact","workspace.json","Datei | Pfad: .obsidian/workspace.json | Tiefe: 2",""
"id-1abbfd53785e4c96993143efc5dae289","Artifact","CSV07-xlsx_2_csv.py","Datei | Pfad: 01-artifacts/01-scripts/CSV07-xlsx_2_csv.py | Tiefe: 3",""
"id-1b8b6e8b5d94461eae91108ae401b892","Artifact","assetsexport.txt","Datei | Pfad: 01-artifacts/02-csv/02-sync/assetsexport.txt | Tiefe: 4",""
"id-1b9104ec83c14bd99004fdfb9d9f05a9","Artifact","XML03-build_index.py","Datei | Pfad: 01-artifacts/01-scripts/XML03-build_index.py | Tiefe: 3",""
"id-1ca2d4187a3c4feda531a77865918b75","Artifact","Work Package.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/6. Implementation & Migration/Work Package.ajs | Tiefe: 6",""
"id-1de8cc6f61d24696b4edec907abe8dc9","Artifact","00-model","Ordner | Pfad: 00-model | Tiefe: 1",""
"id-1f9d9971991b4a5dad237adbb1fe1483","Artifact","CSV08-properties2csv.py","Datei | Pfad: 01-artifacts/01-scripts/CSV08-properties2csv.py | Tiefe: 3",""
