"ID","Type","Name","Documentation","Specialization"
"id-5579a330bf134248ba775c56a8321aab","ArchimateModel","MUNI EA","MUNI FULL Architekture Business R+MUNI View 27.02.2026 ",""
"id-d2c06c8e7f184d0a87bae234afd35bb8","Capability","CAP00-IT Infrastruktur Know How","25 Jahre + IT Erfahrung",""
"id-977695ea242249bdb2b04041b936b8fc","Capability","CAP01-Modellierungs Know How","BPMN 2.0 & Archi sowie klassische Visio und Draw i/o Diagramme",""
"id-36208904226a410cbfd08f8c171ea497","Capability","CAP02-Modell Know How","Know How zu den dahinterstehenden Modellen auch wenn sie meistens nur reduziert zum Einsatz kommen um auf den Zielmark passend zu ""wirken"". ",""
"id-2409c8327b9048cd800ad824e9b69e74","Capability","CAP03-Projektmanagemen","Klassische Projektmanagement Fähigkeiten. Bevorzugt klassisch kann aber auch Agil sein wenn es für den Usecase erwünscht ist. ",""
"id-f25940021ed2491e882cbfc90aab9c0f","CourseOfAction","COA00-R+MUNI 1.0 Internal Release","Meine großes erstes Vorhaben im EA - Modell Umfang",""
"id-081d94ae4980441e9b29dcc553b77aa0","Resource","RES00-Eigenmittel","Wir haben keinen Sponsor oder Unterstützer für R+MUNI daher finanzieren wir uns aus Eigenmittel",""
"id-6a2333e59af14a0fafb3acb889a9cd39","Resource","RES01-Gaming Hardware","R+MUNI hat geringe Anforderungen und läuft akuell auf alter Gaminghardware",""
"id-9df74ba77e634bf19e046fbcdedeaf98","ValueStream","VAS00-Enabling","Das eigentliche Ziel hinter R+MUNI. Befähigen!!!! Format Workshop 2 Tage Crash Modellierungskurs. ",""
"id-b3b2b665e3dd4de7b72353031c0228be","ValueStream","VAS01-Feature Upgrades","Einbau von zusätzlichen Funktionen",""
"id-d0481fda2c9347638cd7f163f57ae765","ValueStream","VAS02-Individualisierungen","R+MUNI ist dafür gemacht sich an Anforderungen anzupassen.",""
"id-2ef9b591145c4d6594e322bfd4b4d9c1","ValueStream","VAS03-Klarheit über Fragestellungen","",""
"id-6e36fdfb918c4240acbee5fcf51faf94","ValueStream","VAS04-R+MUNI","Mein realer Value Stream!! Es wird funktionieren die Zeit wird es zeigen. ",""
"id-ee2df5d1790f4035914f33468504ddb6","ValueStream","VAS05-Unterstützungsleistungen","Unterstützungsleistungen können auf Basis Kontingent gebucht werden. Minimum 50h ",""
