"ID","Key","Value"
"id-081d94ae4980441e9b29dcc553b77aa0","ID3Party",""
"id-32a504ae21274b1ba2809f15c3f99ca2","Type","Guides & Normen"
"id-c0889d4beb7e44f39c958afece722642","Type","OS Funktion"
"id-5f5e6a2f8b2b4f05b93a6d4b150bbb7c","Type","Sprache"
"id-7c959626b8a148edbaaa9cac7eeeabfd","Type","Sprache"
"id-8afbbd03b18345aab637c301ad02fdfc","Type","OS Funktion"
"id-360a083ec5544500bf2c5f0c8d744d77","Type","Guides & Normen"
"id-129265cd30ff40b2a3534eaaa52d37f2","Access_Type","Write"
"id-7af6379575a14082ba0cc3a261682311","Directed","false"
"id-eaa262ac463e489caef507e48dac5fea","Directed","false"
"id-9e37ebb1ec844c11a49366a79731703c","Access_Type","Write"
"id-5b2d189c554e44058f393025d379167e","Directed","false"
"id-1ccdc43432e4439d96b221ac762ee261","Directed","false"
"id-6e159b08dfec45768c0d853262817fbe","Directed","false"
"id-5b83ce91e3c64e4fb42147b8fa53ac3b","Access_Type","Write"
"id-23412768ac914b34b0d921c92d3e3702","Access_Type","Write"
"id-a8fbd0c45b9140f3854421c48dca76f2","Access_Type","Write"
"id-57bbb2ae1866438bbc118da6162450c5","Directed","false"
"id-a8cce4257b38404da24b72535f6d2742","Directed","false"
"id-e037eeb24a724feaa51bde37e64136c7","Access_Type","Write"
"id-3ec4c3387569430ebb6aa43804a65062","Access_Type","Write"
"id-285eaecd1f074c379593ee5c201c4bc9","Access_Type","Write"
"id-52d4c31656ff4d59891103e1e9c83d59","Access_Type","Write"
"id-f49cb961e7484934b8bb337eb0fd6ad7","Access_Type","Write"
"id-aa3a6b181e814a0bbf7bd02d3031b8bb","Directed","false"
"id-3e6891f989c7483c8aa6d502c9fffeb6","Directed","false"
"id-255d6f7ec1e04817ab98b5b4ce4a26da","Directed","false"
"id-cc7c3a6ff6334363aedc9ffedf60f642","Access_Type","Write"
"id-0641b7f8197547f1bdd9c0250845d4f2","Access_Type","Write"
"id-f6c473a60fc64288b2b5e870862f02f8","Access_Type","Write"
"id-0dd72fbe0dce4ff29bb8a214d5bee467","Access_Type","Write"
"id-9151abca9579491c959f8358e417da56","Access_Type","Write"
"id-3ff7d766109742e0817199a35111380a","Access_Type","Write"
"id-14d9f34fb6534b3daa9e9cfb46119d0a","Access_Type","Write"
"id-1746215ab4be46de958e2b76a2ca41d7","Directed","false"
"id-7abacf91d4ec41258dc4492a513e0934","Directed","false"
"id-1a19112a0584468087ff2b9d293504b3","Access_Type","Write"
"id-4a84564c357a490c91c098000a57d880","Access_Type","Write"
"id-ff1680c5deea4a65bb78acf7370d4c69","Directed","false"
"id-674ca2741bcd4722b6c93d50498c52d9","Access_Type","Write"
"id-552c90b978c64909a6e02c5dabba7566","Directed","false"
"id-7d6fe104502f437295374019763fe4da","Directed","false"
"id-dfd803c0587442e296b5ba047251bb7b","Directed","false"
"id-246a27b0ff784b9b9c22422d3124e406","Directed","false"
"id-51fd27d8f7ab4d8f9da06e0ea3b50a65","Directed","false"
"id-261a937d86f04ba58f18f0ae97fd487a","Directed","false"
"id-306e9fc29a6d446fb2f8063756a7abde","Directed","false"
"id-90875f8d316748d69ec778317a5fbafb","Directed","false"
"id-bc5060b768854ca1976271ff70484f92","Directed","false"
