"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-129265cd30ff40b2a3534eaaa52d37f2","AccessRelationship","","","id-04d63fc625ef46dd99d301c9d647a626","id-ddc5d5f706b24d0482ae3f7e504c8638",""
"id-9e37ebb1ec844c11a49366a79731703c","AccessRelationship","","","id-31b2b9431eb741fe845bf7420bcb36b4","id-bc0b10d6225147619307d89e11def2b4",""
"id-5b83ce91e3c64e4fb42147b8fa53ac3b","AccessRelationship","","","id-f40225e3f9504ddfa56eb22b95fc3ce9","id-afb6eefbbd0548699e65384387b61759",""
"id-23412768ac914b34b0d921c92d3e3702","AccessRelationship","","","id-df247b5f9ebb4d768ec0d00b795e3502","id-5e8a5cc38c3341a1b92b5c6588d11027",""
"id-a8fbd0c45b9140f3854421c48dca76f2","AccessRelationship","","","id-8e3e68f7c3b54c6d996c1c65cd4d3eab","id-afb6eefbbd0548699e65384387b61759",""
"id-e037eeb24a724feaa51bde37e64136c7","AccessRelationship","","","id-7ebdb2a2d877437b8d3b8945b31aff5e","id-e7247550ca144a27a94f66268ab718ff",""
"id-3ec4c3387569430ebb6aa43804a65062","AccessRelationship","","","id-7ebdb2a2d877437b8d3b8945b31aff5e","id-508d8fb39ffa4a62bd09d5abab1f79bd",""
"id-285eaecd1f074c379593ee5c201c4bc9","AccessRelationship","","","id-7ebdb2a2d877437b8d3b8945b31aff5e","id-a5a178d05fd94bd9ba6a199ddd6a6e21",""
"id-52d4c31656ff4d59891103e1e9c83d59","AccessRelationship","","","id-7ebdb2a2d877437b8d3b8945b31aff5e","id-bc0b10d6225147619307d89e11def2b4",""
"id-f49cb961e7484934b8bb337eb0fd6ad7","AccessRelationship","","","id-7ebdb2a2d877437b8d3b8945b31aff5e","id-ddc5d5f706b24d0482ae3f7e504c8638",""
"id-cc7c3a6ff6334363aedc9ffedf60f642","AccessRelationship","","","id-1e951c3ecb254860b2a829c8ca2895c3","id-55bf18ce80c64078a01cd08d1249ce34",""
"id-0641b7f8197547f1bdd9c0250845d4f2","AccessRelationship","","","id-da9bf2a418c3489e8a3ad16632c02566","id-55bf18ce80c64078a01cd08d1249ce34",""
"id-f6c473a60fc64288b2b5e870862f02f8","AccessRelationship","","","id-a3a7ba26228142be94e11c8099b1f549","id-55bf18ce80c64078a01cd08d1249ce34",""
"id-0dd72fbe0dce4ff29bb8a214d5bee467","AccessRelationship","","","id-94f52e6fd1f644e7938c274d6da9f223","id-ffd948a082514d22a9efa9f9c576d4b3",""
"id-9151abca9579491c959f8358e417da56","AccessRelationship","","","id-f0c53e2b0d4c45f78453cfe7ea090c5e","id-ffd948a082514d22a9efa9f9c576d4b3",""
"id-3ff7d766109742e0817199a35111380a","AccessRelationship","","","id-f0c53e2b0d4c45f78453cfe7ea090c5e","id-f65114adf355489496223cedcc6ab65b",""
"id-14d9f34fb6534b3daa9e9cfb46119d0a","AccessRelationship","","","id-94f52e6fd1f644e7938c274d6da9f223","id-f65114adf355489496223cedcc6ab65b",""
