"ID","Key","Value"
"id-07f6a1ba20284089a07feedb889ebf0a","Type","XML Stack"
"id-bafb66f26ac3434a8b1aeeac670afc87","Type","File"
"id-29eaadf1d85e49719d9da65fe742641b","Type","File"
"id-a80d55857aad43578201aa49fdf50065","Type","File"
"id-dfcff32751de454ab2382bb00d0fa817","Type","File"
"id-9584aebb4c6a4270908b1ee5a03b4ba4","Type","File"
"id-c46b9c924da746e0a0dbc369a466e093","Type","File"
"id-5cdf108963b342f38e87199b80fa08ca","Type","File"
"id-92fece2374424122bd2c37707254a3e6","Type","File"
"id-8919a7825ffa47fd8fd8e1c66621cd6b","Type","File"
"id-6dfc245ddadc4c938965406ff39dca19","Type","Folder"
"id-8bb1ba815b334d1a86188f4848e29de4","Type","Folder"
"id-2436b167f3ec4b67a35751057032ea4e","Type","File"
"id-06b685dca8a644b7a134c186b5cd5cb0","Type","Folder"
"id-5c2cbb3e91bd4e78ab19b506b0976031","Type","Folder"
"id-14aff2297b7548b5858ee5fade72e911","Type","Folder"
"id-9905bdf7d77140c4a931348041ad07ba","Type","Folder"
"id-c846f48a16ec4ad4a3715ced1331a677","Type","Folder"
"id-ec4f2128d31d471e8e53aa6f61f4d1bf","Type","Folder"
"id-9f1d90d506484706b90555fe3ee7d6e2","Type","OS Funktion"
"id-906e905892e548608de51d46d11c0cdb","Type","Folder"
"id-8e41f059f8f34d94acdc809d4f23ada4","Type","Folder"
"id-16fad6daceea4c25afbd63a22036a05c","Type","Folder"
"id-c03f953b205848ba8f11b62529937975","Type","File"
"id-fb78bb528d4e433cb5e8e4f4a2b29a5f","Type","Folder"
"id-89dc358011344d50a2a3f6678c60c9a6","Type","File"
"id-45bf382fdad848809c5342a8e77057b0","Type","Folder"
"id-41499844342c49a1a59cd4aabbd7cafc","Type","Folder"
"id-a323307c60964671bbe70e7c1b867da8","Type","Folder"
"id-4c262f1af056436493d55536bf8d8ece","Type","File"
"id-18dd7ab2be8d4c54a94a9fc3ae39223b","Type","File"
"id-0b1e96ecea35425da1cebdd44c3a51d6","Type","Folder"
"id-6abe85a8d6aa4de8974138c5b4bb4e0c","Type","Folder"
"id-89342a51a5104ca29696b1658adb1653","Type","Folder"
"id-6e5c0dfb3096468ca6fbe4e045d8e9e1","Type","Folder"
"id-8e14f139525542bba359e6a616155c2d","Type","Folder"
"id-630e4b7e9d314e3998628d79704ec863","Type","Folder"
"id-693021fa584d4c6898fdad8daa807658","Type","File"
"id-19a088fae4cd4498a10b5ed26855c8b6","Type","Archi CSV Stack"
"id-eb3bb263bb9f41fc89cee68944165a94","Type","File"
"id-dad2065546e444a4904e6c70cb2f32e3","Type","File"
"id-a34f55d257234f7fa20f14845586b3a5","Type","File"
"id-ff54c1a6e5c64e378bcebcc23e415d35","Type","Folder"
"id-a4f6528d4de5411fbda054cc02c4d1c5","Type","Folder"
"id-255642a3db4b4ab0b6f00c0fde9ca65d","Type","Folder"
"id-22c3a349e29c4b97bc1932a09440a28d","Type","File"
"id-71cb3ab136a04237a86fa2a937d756c3","Type","Folder"
"id-1a3a87ff11bb4664b11e3b04b41be2fc","Type","Folder"
"id-bc547ea6e9ab412aacb7071d2e374229","Type","Archi XML Stack"
"id-b593c22f709947638b16e64add7e990d","Type","File"
"id-e558094782ed4d08bbc31b83cf044e20","Type","File"
"id-2cb395e548a540c8baae3f899f7ecde5","Type","File"
"id-c4596a07c5504e4c85fa0427ef712b58","Type","File"
"id-3b6821ab5c624a91be21e0275aa69b4b","Type","Folder"
"id-2533c44b0a984e66b8abda40f4a75b6e","Type","Folder"
