"ID","Type","Name","Documentation","Specialization"
"id-debe8c15c7d3403c80250b1904c20e2c","ArchimateModel","MUNI IMPO","",""
"id-55dcb248dd7d4499af91dbbbdb26163d","Artifact","","",""
"id-60cbed8ebe4142f99a43672e32586e30","Artifact","","",""
"id-08d2e3470c79410b8abe3800386c6fdb","Artifact","Automatische Abbuchung (Zahlung)","",""
"id-77db683b94eb496c81cfc12a83888f0b","Artifact","Automatische Abbuchung (Zahlung)","",""
"id-8a7d31575ffb49348ae45c48a382144e","Artifact","Automatische Abbuchung (Zahlung)","",""
"id-03e5db82df634e9e97e042cec2733558","Artifact","Automatische Abbuchung (Zahlung)","",""
"id-2a61e5bf76f542e7b4586a0d85e7eaf7","Artifact","Automatische Abbuchung (Zahlung)","",""
"id-19c383fa03664309a94297771f6b0836","Artifact","Automatische Abbuchung (Zahlung)","",""
"id-1ddbfd331bc24094bce5df441aa9c8e8","Artifact","Automatische Überweisung (Auszahlung)","",""
"id-0a1a7f7fccce48bd9ca54567dbe4b976","Artifact","Rechnung (Jahresabrechnung)","",""
"id-413bbbc68fdf48a8b28948b30295a682","Artifact","Teilzahlungsbetrag (Vorschreibung)","",""
"id-42d0012c99114b49857b7fb0290bb257","Artifact","Teilzahlungsbetrag (Vorschreibung)","",""
"id-99e1e5d39dee47c6b0aaed45cab72b20","Artifact","Teilzahlungsbetrag (Vorschreibung)","",""
"id-d5aaefa1b6334f2db31221426d487f86","Artifact","Teilzahlungsbetrag (Vorschreibung)","",""
"id-e59d8440a5a549eaa9fecdd33ef8dab3","Artifact","Teilzahlungsbetrag (Vorschreibung)","",""
"id-d12e023f4e2a46b3b16cacd859d8ae6e","Artifact","Teilzahlungsbetrag (Vorschreibung)","",""
"id-bc42d25c48be4b7d8fb7e19867569afe","Goal","","",""
"id-2f8193b175a74c739684952a27aca442","Goal","","",""
"id-f610e59f9e3449dfbd475a51162809c0","Goal","","",""
"id-675d700cdc1545a18466bf3e8af10873","Goal","","",""
"id-e011f1ca685c4a9a826dde03fc2bd2a3","Goal","","",""
"id-84400077c7b94bf08801e5125d7485a9","Goal","","",""
"id-429276fe8c094fae82205099337e4535","Goal","","",""
"id-dfea405c28f743eda317ab83eb705089","Goal","","",""
"id-3efdbe6f6bd544b5ae3b146f7ab3f371","Goal","=""0,65 EUR""","",""
"id-bca5d6d41e65405691caffd242603b62","Goal","296,65 EUR","",""
"id-edee020224cb44b5836952169a94c0fa","Goal","45,00 EUR","",""
"id-bc965c09e203447dbf3c38d9e5f719c1","Goal","45,00 EUR","",""
"id-1644a9db8a9c4e72b20f253f9158fd5c","Goal","45,00 EUR","",""
"id-ce38ac96553b4496b49ad739440059a2","Goal","45,00 EUR","",""
"id-7d6a760c9f10413ebcceaeee91cb8a96","Goal","45,00 EUR","",""
"id-3be94ba7b34d46689d60280007cb31c6","Goal","71,00 EUR","",""
"id-1cb5de266d6149609613b337fc751502","Requirement","","",""
"id-eb323bdec1c74750b75a841c3f5a0514","Requirement","","",""
"id-9a9ac3e0a57e4ac5bb9e01c542ce5c48","Requirement","=""0,65 EUR""","",""
"id-2e4fd9b0e7bd4c9c92d9a2af561491f9","Requirement","224,35 EUR","",""
"id-81853e0037a74f82a07d036209652294","Requirement","45,00 EUR","",""
"id-1d511e79633a449db36e987dbb2c65d9","Requirement","45,00 EUR","",""
"id-5c6456ecc62544afae86fbf0f5af93f5","Requirement","45,00 EUR","",""
"id-15fecbfe66e54d53aab2221fbe83bc73","Requirement","45,00 EUR","",""
"id-ef524d42a1d5419b8340cf5dd71e36af","Requirement","45,00 EUR","",""
"id-99dfd44a7c67475892b5f0f0c0fdfc8d","Requirement","45,00 EUR","",""
"id-7a5d6d2e58ad4f04ace84970f002cf43","Requirement","45,00 EUR","",""
"id-58b7582d94f94530ae7a6c4af64deffa","Requirement","45,00 EUR","",""
"id-8aee8c023d9044d394b7866b4200a0b2","Requirement","45,00 EUR","",""
"id-bee87f765e9e4fcf8b70a6a0a9d5417e","Requirement","45,00 EUR","",""
"id-502deee47d6d4385a193cafc987065eb","Requirement","71,00 EUR","",""
"id-e7c4da7608a84a32a1e197b4a66dce73","Requirement","71,00 EUR","",""
