"ID","Key","Value"
"id-55dcb248dd7d4499af91dbbbdb26163d","Datum","02.12.2024"
"id-60cbed8ebe4142f99a43672e32586e30","Fälligkeit","02.12.2024"
"id-08d2e3470c79410b8abe3800386c6fdb","Datum","01.12.2024"
"id-77db683b94eb496c81cfc12a83888f0b","Fälligkeit","02.12.2024"
"id-8a7d31575ffb49348ae45c48a382144e","Datum","22.11.2024"
"id-03e5db82df634e9e97e042cec2733558","Fälligkeit","22.11.2024"
"id-2a61e5bf76f542e7b4586a0d85e7eaf7","Datum","21.11.2024"
"id-19c383fa03664309a94297771f6b0836","Fälligkeit","21.11.2024"
"id-1ddbfd331bc24094bce5df441aa9c8e8","Datum","04.11.2024"
"id-0a1a7f7fccce48bd9ca54567dbe4b976","Fälligkeit","04.11.2024"
"id-413bbbc68fdf48a8b28948b30295a682","Datum","01.11.2024"
"id-42d0012c99114b49857b7fb0290bb257","Fälligkeit","04.11.2024"
"id-99e1e5d39dee47c6b0aaed45cab72b20","Datum","01.10.2024"
"id-d5aaefa1b6334f2db31221426d487f86","Fälligkeit","01.10.2024"
"id-e59d8440a5a549eaa9fecdd33ef8dab3","Datum","01.10.2024"
"id-d12e023f4e2a46b3b16cacd859d8ae6e","Fälligkeit","01.10.2024"
"id-55dcb248dd7d4499af91dbbbdb26163d","Datum","02.09.2024"
"id-60cbed8ebe4142f99a43672e32586e30","Fälligkeit","02.09.2024"
"id-08d2e3470c79410b8abe3800386c6fdb","Datum","01.09.2024"
"id-77db683b94eb496c81cfc12a83888f0b","Fälligkeit","02.09.2024"
"id-8a7d31575ffb49348ae45c48a382144e","Datum","01.08.2024"
"id-03e5db82df634e9e97e042cec2733558","Fälligkeit","01.08.2024"
"id-2a61e5bf76f542e7b4586a0d85e7eaf7","Datum","01.08.2024"
"id-19c383fa03664309a94297771f6b0836","Fälligkeit","01.08.2024"
"id-1ddbfd331bc24094bce5df441aa9c8e8","Datum","01.07.2024"
"id-0a1a7f7fccce48bd9ca54567dbe4b976","Fälligkeit","01.07.2024"
"id-413bbbc68fdf48a8b28948b30295a682","Datum","01.07.2024"
"id-42d0012c99114b49857b7fb0290bb257","Fälligkeit","01.07.2024"
"id-99e1e5d39dee47c6b0aaed45cab72b20","Datum",""
"id-d5aaefa1b6334f2db31221426d487f86","Fälligkeit",""
"id-e59d8440a5a549eaa9fecdd33ef8dab3","Datum",""
"id-d12e023f4e2a46b3b16cacd859d8ae6e","Fälligkeit",""
