"ID","Key","Value"
"","Datum","02.12.2024"
"","Fälligkeit","02.12.2024"
"","Datum","01.12.2024"
"","Fälligkeit","02.12.2024"
"","Datum","22.11.2024"
"","Fälligkeit","22.11.2024"
"","Datum","21.11.2024"
"","Fälligkeit","21.11.2024"
"","Datum","04.11.2024"
"","Fälligkeit","04.11.2024"
"","Datum","01.11.2024"
"","Fälligkeit","04.11.2024"
"","Datum","01.10.2024"
"","Fälligkeit","01.10.2024"
"","Datum","01.10.2024"
"","Fälligkeit","01.10.2024"
"","Datum","02.09.2024"
"","Fälligkeit","02.09.2024"
"","Datum","01.09.2024"
"","Fälligkeit","02.09.2024"
"","Datum","01.08.2024"
"","Fälligkeit","01.08.2024"
"","Datum","01.08.2024"
"","Fälligkeit","01.08.2024"
"","Datum","01.07.2024"
"","Fälligkeit","01.07.2024"
"","Datum","01.07.2024"
"","Fälligkeit","01.07.2024"
"","Datum",""
"","Fälligkeit",""
"","Datum",""
"","Fälligkeit",""
