ID,Type,Name,Documentation,Specialization
id-0071a9b8fbcd467dba90cc5d7f82bcca,CourseOfAction,Course of Action,,
id-04a6556144ff45408dedeaa75a320eea,Equipment,Equipment,,
id-06dfe8abed464e21b8ba652a4c432a33,WorkPackage,Work Package,,
id-0b2a477169694ff1abd64ee3389d46ff,Path,Path,,
id-1037f2c819fc4cec870f30a3366777c4,TechnologyService,Technology Service,,
id-12566422b8cb4d449c05ecd46cd0d963,Product,Product,,
id-133d5ace62cf48fe9da68a1efa8f7627,BusinessProcess,BUP00-Modellieren,,
id-1491dfae821245a6bf252270ce1b1d26,Requirement,Requirement,,
id-178b7cfc299041699cf0ce3ae45c211d,TechnologyCollaboration,Technology Collaboration,,
id-186528d117834af19c147b88228fc7fa,Gap,Gap,,
id-19686442ea94450cb3a518b60d176101,ApplicationFunction,Application Function,,
id-1a366e9a78494264a24f1594ee44c026,ApplicationCollaboration,Application Collaboration,,
id-22efd022508a461c8736993347cf1497,BusinessActor,Business Actor,,
id-26e1e8e751e74126a6d978621d6e627c,Assessment,Assessment,,
id-27cbc4e7ef1a440c8b41b23173c1c9b4,Node,Node,,
id-2a6c5ec51212471f96e1398f2297f810,ApplicationInteraction,Application Interaction,,
id-2bc8d13549934e39bf40ae06c96980e8,BusinessProcess,Business Process,,
id-367eb34e44b8433e99311703cdf2575c,BusinessInteraction,Business Interaction,,
id-3d958e41125243eea03989eac6cb7e3a,Device,Device,,
id-3edccef337404c89af0e866344350501,BusinessObject,Business Object,,
id-3f2ba834407a4cb8ae6d074faa8fde4b,ImplementationEvent,Implementation Event,,
id-3f5e3fb2b466409fb877d82be46b34de,ApplicationProcess,Application Process,,
id-41f761e0fc274f23be41d98ed0ecf45c,ApplicationEvent,Application Event,,
id-4312e59f96194527998f543af29e5993,BusinessEvent,Business Event,,
id-4638494274ed45d2bb85035173ea3be9,Principle,Principle,,
id-4d807142029040aaa6f3c708c36e7ef1,BusinessProcess,BUP04-R+MUNI entwickeln,,
id-4f8cc30026af478ebd6bfb004ac45622,Facility,Facility,,
id-51b67f6f65f14344b8c7134994ec69c8,BusinessProcess,BUP07-Visuelle Modelle erstellen,,
id-53b1fb1d650644e8a3cc04143c5e84b2,Equipment,Equipment,,
id-54664babd48f4913b0f6510db8755dd3,Resource,Resource,,
id-5574230b886f440da9712b7f677b4b05,BusinessProcess,BUP06-Schulung durchführen,,
id-62572abe71654242809b67339965a5d3,Driver,Driver,,
id-731d26ee167340d3a9e612d57dba07d6,Artifact,Artifact,,
id-748103d4fb4043c78aa6c714dac73c7d,BusinessProcess,BUP02-Lösung präsentieren,,
id-7cfbf9bcef7e41a29763c0233dd24fd6,DistributionNetwork,Distribution Network,,
id-801ec37aaab442baadef2b6f9afe9705,TechnologyInteraction,Technology Interaction,,
id-80f094f2bf1649a78ecede3d007a2c12,Outcome,Outcome,,
id-8a10df0fa5b44208837ef52dc9df94c0,ValueStream,Value Stream,,
id-8caeeca6af3a49029afae618ca6f36f0,BusinessProcess,BUP01-Lösung für Anforderung erarbeiten,,
id-8dbf0f7a10824dc7923ff7389f05700b,ApplicationInterface,Application Interface,,
id-8f5c2e1c5b2a48809173d40c8227192d,Plateau,Plateau,,
id-9350e08633b942f586d70cb93ae32c84,TechnologyProcess,Technology Process,,
id-945a5b5add6d4933ad8eb06d7a559aec,Grouping,Grouping,,
id-9ce20ff439cd418cbbeee297c1801627,TechnologyFunction,Technology Function,,
id-9e4de93916b4425e839bc45e68d8edd5,BusinessService,Business Service,,
id-9ff43e5a370e455cb948774923a7aaa9,Meaning,Meaning,,
id-a58d8d21613f45cbb4624cd17ba7a020,BusinessFunction,Business Function,,
id-a6c56625e2fd4eec8e98dd7dfdbb8868,BusinessProcess,BUP01-Entwicklung,,
id-a78d4e3b3d554a9ebe48d1e48f10951a,TechnologyEvent,Technology Event,,
id-a8d2962157154ace949c6024260ed410,ApplicationService,Application Service,,
id-aa2eedbc654f4636a73a14f3286649a4,Material,Material,,
id-adc51032027f4b78a5290431c525a11b,BusinessInterface,Business Interface,,
id-af28c87cfb5f4e6ea2ff6edf17988d8e,BusinessProcess,BUP00-3rd Party Import,,
id-bf0eaa63390e457aba14cd7ac6679751,Goal,Goal,,
id-c473242dc2f74cde98b1859322c96e69,BusinessRole,Business Role,,
id-c56fb3a8b9674ea0a0c12b12269a730d,Constraint,Constraint,,
id-c8932c5151004bfc922645f8327d0b26,DataObject,Data Object,,
id-cc0d9dae567c4981b1cb2c6527a5c326,ApplicationComponent,Application Component,,
id-cf388d2e7ef14c1ab8f5c8e81a9e9c1c,BusinessProcess,BUP03-R+MUNI anpassen,,
id-d081574e000b43f8ad4ca8f558d3d7a7,Value,Value,,
id-db64f171f9114c8da5d2086ca4416e83,Capability,Capability,,
id-ea1e4599aae14136aa780af634b8f01b,Location,Location,,
id-ed8f8865476746788b8cbbfdbda7a643,TechnologyInterface,Technology Interface,,
id-f65aa1f0786b4121b92fa37e2effb6b3,Representation,Representation,,
id-f7cec98b250a49d9a99beb7ae6b0bdfc,BusinessProcess,BUP05-R+MUNI installieren,,
id-fcd6f81b946849c29a891e1e26fdafbb,CommunicationNetwork,Communication Network,,
id-fd13e2b9f29b45fbb76e296ff3d2c442,Stakeholder,Stakeholder,,
id-fe1222d5dfae4040b30c7f2cd69241a6,Deliverable,Deliverable,,
id-fe5f7953571846f7bc783a5f49e531de,Contract,Contract,,
id-fef534a4d5c942f98317090b2e993928,SystemSoftware,System Software,,
