ID,Key,Value
id-db64f171f9114c8da5d2086ca4416e83,Test Attribut 00,juhu 00
id-db64f171f9114c8da5d2086ca4416e83,Test Attribut 01,juhu 01
id-af28c87cfb5f4e6ea2ff6edf17988d8e,BPMN_ID,id-0f0b8b3ec7104ab9a902e773a818553f
id-133d5ace62cf48fe9da68a1efa8f7627,BPMN_ID,id-734483f89c2c4e1faf1a7272594321b5
id-a6c56625e2fd4eec8e98dd7dfdbb8868,BPMN_ID,id-df128b89e4fd456abbaf83f14fa7ca48
id-8caeeca6af3a49029afae618ca6f36f0,BPMN_ID,id-6d76f68d89d44f9491a836e9e993d2d7
id-748103d4fb4043c78aa6c714dac73c7d,BPMN_ID,id-6132cbb6e22143e3a4a8f1e18ae8aabc
id-cf388d2e7ef14c1ab8f5c8e81a9e9c1c,BPMN_ID,id-ec42131fce17464ababb7bedfe11f468
id-4d807142029040aaa6f3c708c36e7ef1,BPMN_ID,id-394ce819ab194ca09c10b6671ea3a587
id-f7cec98b250a49d9a99beb7ae6b0bdfc,BPMN_ID,id-486ae814a4cf4dde90c3a130c6441454
id-5574230b886f440da9712b7f677b4b05,BPMN_ID,id-bfe411b764cb4400aa04321e5da21131
id-51b67f6f65f14344b8c7134994ec69c8,BPMN_ID,id-5b10384809f94f15a0bc399b68f7cdf6
id-2bc8d13549934e39bf40ae06c96980e8,BPMN_ID,id-2bc8d13549934e39bf40ae06c96980e8
