"objectKey","ArchiType","Layer","Name","Description","Specialization","SourceModel","propid-1"
"id-03daec5d29bd4b189ca2a5496252e5b7","Artifact","Technology & Physical","00-governance","","","MUNI FLOW.xml","Folder"
"id-05b984b42a2341f9b9ef629cbcfba788","Artifact","Technology & Physical","CSV Stack","Sammlung aller CSV Script Files","","MUNI FLOW.xml","Archi CSV Scripts"
"id-0699461668eb4216b62dec82887521bd","Artifact","Technology & Physical","CSV06-append_child_to_master.py","","","MUNI FLOW.xml","File"
"id-06b685dca8a644b7a134c186b5cd5cb0","Artifact","Technology & Physical","02-artifacts","","","MUNI FLOW.xml","Folder"
"id-06c671c503a54f5f943a7c7b981fbfd8","Artifact","Technology & Physical","flowmapping.txt","Beschreibt welcher Trigger zu welchem Script gehört.","","MUNI FLOW.xml","File"
"id-07f6a1ba20284089a07feedb889ebf0a","Artifact","Technology & Physical","XML Stack","Sammlung aller XML Script Files","","MUNI FLOW.xml","Archi XML Scripts"
"id-086beea937e649459cae69d0a8f9c442","Artifact","Technology & Physical","00-archimateactive","","","MUNI FLOW.xml","Folder"
"id-08ebdb53c6424e198e2420265f77df9d","Artifact","Technology & Physical","99-logs","","","MUNI FLOW.xml","Folder"
"id-094cdbbde88247b6aeaa20d271264ede","Artifact","Technology & Physical","CSV02-leer.py","wurde eingespart aber noch als Platzhalter belassen da der Flow noch in der Beta ist.","","MUNI FLOW.xml","File"
"id-0b1e96ecea35425da1cebdd44c3a51d6","Artifact","Technology & Physical","00-bpmnactive","Beschreibt die aktiven Modelle","","MUNI FLOW.xml","Folder"
"id-14aff2297b7548b5858ee5fade72e911","Artifact","Technology & Physical","00-conecpt","00-concept","","MUNI FLOW.xml","Folder"
"id-16ba8f76d2e14f9b86e9ca9dc56e30ee","Artifact","Technology & Physical","flow.py","User Herzstück für die Script gesteuerte Triggerübernahme aus Archimate und BPMN Modellen.","","MUNI FLOW.xml","File"
"id-16fad6daceea4c25afbd63a22036a05c","Artifact","Technology & Physical","01-principles","","","MUNI FLOW.xml","Folder"
"id-173180eb82994f94a2f32c9acbfdabdd","Artifact","Technology & Physical","flowdiscover.py","","","MUNI FLOW.xml","File"
"id-18dd7ab2be8d4c54a94a9fc3ae39223b","Artifact","Technology & Physical","run-scope.txt","Outcome File für Scope bestimmung Archi CSV Scripts","","MUNI FLOW.xml","File"
