"Summary","Issue Type","Description","Component/s","Labels","External issue ID","EA-ObjectKey","EA-ArchiType","EA-Layer","EA-SourceModel"
"BUP06-M2B FLOW","Task","EA-ObjectKey: id-136c6e495f7944fe9d174e8e99401ca1
ArchiType: BusinessProcess
Layer: Business
SourceModel: MUNI FLOW.xml","Business","BusinessProcess","id-136c6e495f7944fe9d174e8e99401ca1","id-136c6e495f7944fe9d174e8e99401ca1","BusinessProcess","Business","MUNI FLOW.xml"
"BUP00-CSV FLOW","Task","Ermöglicht es von CSV Archi Exports in CSV Importformat zu transferieren und anzureichern. Eher seltener Usecase aber gut um das FLOW Script zu testen. FLOW in BPMN Camunda 7 modelliert.

EA-ObjectKey: id-1393ce3e12f1498eb06cbefe32f0be91
ArchiType: BusinessProcess
Layer: Business
SourceModel: MUNI FLOW.xml","Business","BusinessProcess","id-1393ce3e12f1498eb06cbefe32f0be91","id-1393ce3e12f1498eb06cbefe32f0be91","BusinessProcess","Business","MUNI FLOW.xml"
"BPU01-CSV 2 CSV","Task","Archi CSV <-> CSV Import Archi (war mein erster Test nur für übertragungen von Modell zu Modell Sinnhaft wenn man editieren möchte geht und das XLXS Plugin nicht hat.

EA-ObjectKey: id-3431625e8daa424b9f089c21d4ea6049
ArchiType: BusinessProcess
Layer: Business
SourceModel: MUNI FLOW.xml","Business","BusinessProcess","id-3431625e8daa424b9f089c21d4ea6049","id-3431625e8daa424b9f089c21d4ea6049","BusinessProcess","Business","MUNI FLOW.xml"
"BUP03-masterxml 2 CSV","Task","Der CORE Teil dieses Flows er überträgt diese aus den unterschiedlichsten Systemen stammenden master.xml Daten in ein CSV von Archi Import lesbares Format.

EA-ObjectKey: id-5e398e49cb0a4fbd889849a7e7c272c6
ArchiType: BusinessProcess
Layer: Business
SourceModel: MUNI FLOW.xml","Business","BusinessProcess","id-5e398e49cb0a4fbd889849a7e7c272c6","id-5e398e49cb0a4fbd889849a7e7c272c6","BusinessProcess","Business","MUNI FLOW.xml"
"BUP05-XML FLOW","Task","EA-ObjectKey: id-87df041b085a403e948d63e82b6dc556
ArchiType: BusinessProcess
Layer: Business
SourceModel: MUNI FLOW.xml","Business","BusinessProcess","id-87df041b085a403e948d63e82b6dc556","id-87df041b085a403e948d63e82b6dc556","BusinessProcess","Business","MUNI FLOW.xml"
"BUP04-mastercsv2Assets","Task","Neuer Sprint für Integration in Jira.

EA-ObjectKey: id-8b98e9a157c845acb0fb8f0049826222
ArchiType: BusinessProcess
Layer: Business
SourceModel: MUNI FLOW.xml","Business","BusinessProcess","id-8b98e9a157c845acb0fb8f0049826222","id-8b98e9a157c845acb0fb8f0049826222","BusinessProcess","Business","MUNI FLOW.xml"
"BPU02-XLSX 2 CSV","Task","EA-ObjectKey: id-8d6586a812d04fa9aa1e0e646e1fd239
ArchiType: BusinessProcess
Layer: Business
SourceModel: MUNI FLOW.xml","Business","BusinessProcess","id-8d6586a812d04fa9aa1e0e646e1fd239","id-8d6586a812d04fa9aa1e0e646e1fd239","BusinessProcess","Business","MUNI FLOW.xml"
"BUP07-FLOW","Task","Scriptrunner R+MUNI. Der Esel macht aus Snips was brauchbares.

EA-ObjectKey: id-f2e451fc1a5040418d5ce92a8baa0d16
ArchiType: BusinessProcess
Layer: Business
SourceModel: MUNI FLOW.xml","Business","BusinessProcess","id-f2e451fc1a5040418d5ce92a8baa0d16","id-f2e451fc1a5040418d5ce92a8baa0d16","BusinessProcess","Business","MUNI FLOW.xml"
"00-governance","Task","EA-ObjectKey: id-03daec5d29bd4b189ca2a5496252e5b7
ArchiType: Artifact
Layer: Technology & Physical
SourceModel: MUNI FLOW.xml","Technology & Physical","Artifact","id-03daec5d29bd4b189ca2a5496252e5b7","id-03daec5d29bd4b189ca2a5496252e5b7","Artifact","Technology & Physical","MUNI FLOW.xml"
"CSV Stack","Task","Sammlung aller CSV Script Files

EA-ObjectKey: id-05b984b42a2341f9b9ef629cbcfba788
ArchiType: Artifact
Layer: Technology & Physical
SourceModel: MUNI FLOW.xml","Technology & Physical","Artifact","id-05b984b42a2341f9b9ef629cbcfba788","id-05b984b42a2341f9b9ef629cbcfba788","Artifact","Technology & Physical","MUNI FLOW.xml"
"CSV06-append_child_to_master.py","Task","EA-ObjectKey: id-0699461668eb4216b62dec82887521bd
ArchiType: Artifact
Layer: Technology & Physical
SourceModel: MUNI FLOW.xml","Technology & Physical","Artifact","id-0699461668eb4216b62dec82887521bd","id-0699461668eb4216b62dec82887521bd","Artifact","Technology & Physical","MUNI FLOW.xml"
"02-artifacts","Task","EA-ObjectKey: id-06b685dca8a644b7a134c186b5cd5cb0
ArchiType: Artifact
Layer: Technology & Physical
SourceModel: MUNI FLOW.xml","Technology & Physical","Artifact","id-06b685dca8a644b7a134c186b5cd5cb0","id-06b685dca8a644b7a134c186b5cd5cb0","Artifact","Technology & Physical","MUNI FLOW.xml"
"flowmapping.txt","Task","Beschreibt welcher Trigger zu welchem Script gehört.

EA-ObjectKey: id-06c671c503a54f5f943a7c7b981fbfd8
ArchiType: Artifact
Layer: Technology & Physical
SourceModel: MUNI FLOW.xml","Technology & Physical","Artifact","id-06c671c503a54f5f943a7c7b981fbfd8","id-06c671c503a54f5f943a7c7b981fbfd8","Artifact","Technology & Physical","MUNI FLOW.xml"
"XML Stack","Task","Sammlung aller XML Script Files

EA-ObjectKey: id-07f6a1ba20284089a07feedb889ebf0a
ArchiType: Artifact
Layer: Technology & Physical
SourceModel: MUNI FLOW.xml","Technology & Physical","Artifact","id-07f6a1ba20284089a07feedb889ebf0a","id-07f6a1ba20284089a07feedb889ebf0a","Artifact","Technology & Physical","MUNI FLOW.xml"
"00-archimateactive","Task","EA-ObjectKey: id-086beea937e649459cae69d0a8f9c442
ArchiType: Artifact
Layer: Technology & Physical
SourceModel: MUNI FLOW.xml","Technology & Physical","Artifact","id-086beea937e649459cae69d0a8f9c442","id-086beea937e649459cae69d0a8f9c442","Artifact","Technology & Physical","MUNI FLOW.xml"
"99-logs","Task","EA-ObjectKey: id-08ebdb53c6424e198e2420265f77df9d
ArchiType: Artifact
Layer: Technology & Physical
SourceModel: MUNI FLOW.xml","Technology & Physical","Artifact","id-08ebdb53c6424e198e2420265f77df9d","id-08ebdb53c6424e198e2420265f77df9d","Artifact","Technology & Physical","MUNI FLOW.xml"
