[CSV03] 2026-03-07 00:36:39 | Resolved root path: C:\Prototyping\MUNI
[CSV03] 2026-03-07 00:36:39 | Models available from model-scope: 6
[CSV03] 2026-03-07 00:36:39 | Active mapping rules: 1
[CSV03] 2026-03-07 00:36:39 | Extracted model patterns: ['*.*']
[CSV03] 2026-03-07 00:36:39 | Model matched: 01-archimateactivesub/Importer.archimate.bak (pattern=*.*)
[CSV03] 2026-03-07 00:36:39 | Model matched: 01-archimateactivesub/MUNI FLOW.archimate.bak (pattern=*.*)
[CSV03] 2026-03-07 00:36:39 | Model matched: Importer.archimate (pattern=*.*)
[CSV03] 2026-03-07 00:36:39 | Model matched: MUNI EA Modell.archimate (pattern=*.*)
[CSV03] 2026-03-07 00:36:39 | Model matched: MUNI FLOW.archimate (pattern=*.*)
[CSV03] 2026-03-07 00:36:39 | Model matched: Testi.archimate (pattern=*.*)
[CSV03] 2026-03-07 00:36:39 | Run scope written with 6 model(s)
[CSV03] 2026-03-07 09:41:17 | Resolved root path: C:\Prototyping\MUNI
[CSV03] 2026-03-07 09:41:17 | Models available from model-scope: 6
[CSV03] 2026-03-07 09:41:17 | Active mapping rules: 1
[CSV03] 2026-03-07 09:41:17 | Extracted model patterns: ['*.*']
[CSV03] 2026-03-07 09:41:17 | Model matched: 01-archimateactivesub/Importer.archimate.bak (pattern=*.*)
[CSV03] 2026-03-07 09:41:17 | Model matched: 01-archimateactivesub/MUNI FLOW.archimate.bak (pattern=*.*)
[CSV03] 2026-03-07 09:41:17 | Model matched: Importer.archimate (pattern=*.*)
[CSV03] 2026-03-07 09:41:17 | Model matched: MUNI EA Modell.archimate (pattern=*.*)
[CSV03] 2026-03-07 09:41:17 | Model matched: MUNI FLOW.archimate (pattern=*.*)
[CSV03] 2026-03-07 09:41:17 | Model matched: Testi.archimate (pattern=*.*)
[CSV03] 2026-03-07 09:41:17 | Run scope written with 6 model(s)
[CSV03] 2026-03-07 09:41:56 | Resolved root path: C:\Prototyping\MUNI
[CSV03] 2026-03-07 09:41:56 | Models available from model-scope: 6
[CSV03] 2026-03-07 09:41:56 | Active mapping rules: 1
[CSV03] 2026-03-07 09:41:56 | Extracted model patterns: ['*.*']
[CSV03] 2026-03-07 09:41:56 | Model matched: 01-archimateactivesub/Importer.archimate.bak (pattern=*.*)
[CSV03] 2026-03-07 09:41:56 | Model matched: 01-archimateactivesub/MUNI FLOW.archimate.bak (pattern=*.*)
[CSV03] 2026-03-07 09:41:56 | Model matched: Importer.archimate (pattern=*.*)
[CSV03] 2026-03-07 09:41:56 | Model matched: MUNI EA Modell.archimate (pattern=*.*)
[CSV03] 2026-03-07 09:41:56 | Model matched: MUNI FLOW.archimate (pattern=*.*)
[CSV03] 2026-03-07 09:41:56 | Model matched: Testi.archimate (pattern=*.*)
[CSV03] 2026-03-07 09:41:56 | Run scope written with 6 model(s)
[CSV03] 2026-03-07 09:52:52 | Resolved root path: C:\Prototyping\MUNI
[CSV03] 2026-03-07 09:52:52 | Models available from model-scope: 6
[CSV03] 2026-03-07 09:52:52 | Active mapping rules: 1
[CSV03] 2026-03-07 09:52:52 | Extracted model patterns: ['*.*']
[CSV03] 2026-03-07 09:52:52 | Model matched: 01-archimateactivesub/Importer.archimate.bak (pattern=*.*)
[CSV03] 2026-03-07 09:52:52 | Model matched: 01-archimateactivesub/MUNI FLOW.archimate.bak (pattern=*.*)
[CSV03] 2026-03-07 09:52:52 | Model matched: Importer.archimate (pattern=*.*)
[CSV03] 2026-03-07 09:52:52 | Model matched: MUNI EA Modell.archimate (pattern=*.*)
[CSV03] 2026-03-07 09:52:52 | Model matched: MUNI FLOW.archimate (pattern=*.*)
[CSV03] 2026-03-07 09:52:52 | Model matched: Testi.archimate (pattern=*.*)
[CSV03] 2026-03-07 09:52:52 | Run scope written with 6 model(s)
