[CSV04] 2026-03-07 00:36:44 | Resolved root path: C:\Prototyping\MUNI
[CSV04] 2026-03-07 00:36:44 | Found Archi model: 01-archimateactivesub/Importer.archimate.bak
[CSV04] 2026-03-07 00:36:44 | Found Archi model: 01-archimateactivesub/MUNI FLOW.archimate.bak
[CSV04] 2026-03-07 00:36:44 | Found Archi model: Importer.archimate
[CSV04] 2026-03-07 00:36:44 | Found Archi model: MUNI EA Modell.archimate
[CSV04] 2026-03-07 00:36:44 | Found Archi model: MUNI FLOW.archimate
[CSV04] 2026-03-07 00:36:44 | Found Archi model: Testi.archimate
[CSV04] 2026-03-07 00:36:44 | Found OEF artifact: Architecture.xml
[CSV04] 2026-03-07 00:36:44 | Found OEF artifact: Importer.xml
[CSV04] 2026-03-07 00:36:44 | Found OEF artifact: MUNI FLOW.xml
[CSV04] 2026-03-07 00:36:44 | Found OEF artifact: R+Muni Architecture Modell.xml
[CSV04] 2026-03-07 00:36:44 | Found XLSX artifact: R+MUNI ScopingPhase2_Value.xlsx
[CSV04] 2026-03-07 00:36:44 | Found XLSX artifact: R+Muni Architecture Modell.xlsx
[CSV04] 2026-03-07 00:36:44 | Flat source inventory written to run-scope.txt
[CSV04] 2026-03-07 09:41:17 | Resolved root path: C:\Prototyping\MUNI
[CSV04] 2026-03-07 09:41:17 | Found Archi model: 01-archimateactivesub/Importer.archimate.bak
[CSV04] 2026-03-07 09:41:17 | Found Archi model: 01-archimateactivesub/MUNI FLOW.archimate.bak
[CSV04] 2026-03-07 09:41:17 | Found Archi model: Importer.archimate
[CSV04] 2026-03-07 09:41:17 | Found Archi model: MUNI EA Modell.archimate
[CSV04] 2026-03-07 09:41:17 | Found Archi model: MUNI FLOW.archimate
[CSV04] 2026-03-07 09:41:17 | Found Archi model: Testi.archimate
[CSV04] 2026-03-07 09:41:17 | Found OEF artifact: Architecture.xml
[CSV04] 2026-03-07 09:41:17 | Found OEF artifact: Importer.xml
[CSV04] 2026-03-07 09:41:17 | Found OEF artifact: MUNI EA Modell.xml
[CSV04] 2026-03-07 09:41:17 | Found OEF artifact: MUNI FLOW.xml
[CSV04] 2026-03-07 09:41:17 | Found OEF artifact: R+Muni Architecture Modell.xml
[CSV04] 2026-03-07 09:41:17 | Found XLSX artifact: R+MUNI ScopingPhase2_Value.xlsx
[CSV04] 2026-03-07 09:41:17 | Found XLSX artifact: R+Muni Architecture Modell.xlsx
[CSV04] 2026-03-07 09:41:17 | Flat source inventory written to run-scope.txt
[CSV04] 2026-03-07 09:41:56 | Resolved root path: C:\Prototyping\MUNI
[CSV04] 2026-03-07 09:41:56 | Found Archi model: 01-archimateactivesub/Importer.archimate.bak
[CSV04] 2026-03-07 09:41:56 | Found Archi model: 01-archimateactivesub/MUNI FLOW.archimate.bak
[CSV04] 2026-03-07 09:41:56 | Found Archi model: Importer.archimate
[CSV04] 2026-03-07 09:41:56 | Found Archi model: MUNI EA Modell.archimate
[CSV04] 2026-03-07 09:41:56 | Found Archi model: MUNI FLOW.archimate
[CSV04] 2026-03-07 09:41:56 | Found Archi model: Testi.archimate
[CSV04] 2026-03-07 09:41:56 | Found OEF artifact: Architecture.xml
[CSV04] 2026-03-07 09:41:56 | Found OEF artifact: Importer.xml
[CSV04] 2026-03-07 09:41:56 | Found OEF artifact: MUNI EA Modell.xml
[CSV04] 2026-03-07 09:41:56 | Found OEF artifact: MUNI FLOW.xml
[CSV04] 2026-03-07 09:41:56 | Found OEF artifact: R+Muni Architecture Modell.xml
[CSV04] 2026-03-07 09:41:56 | Found XLSX artifact: R+MUNI ScopingPhase2_Value.xlsx
[CSV04] 2026-03-07 09:41:56 | Found XLSX artifact: R+Muni Architecture Modell.xlsx
[CSV04] 2026-03-07 09:41:56 | Flat source inventory written to run-scope.txt
[CSV04] 2026-03-07 09:52:52 | Resolved root path: C:\Prototyping\MUNI
[CSV04] 2026-03-07 09:52:52 | Found Archi model: 01-archimateactivesub/Importer.archimate.bak
[CSV04] 2026-03-07 09:52:52 | Found Archi model: 01-archimateactivesub/MUNI FLOW.archimate.bak
[CSV04] 2026-03-07 09:52:52 | Found Archi model: Importer.archimate
[CSV04] 2026-03-07 09:52:52 | Found Archi model: MUNI EA Modell.archimate
[CSV04] 2026-03-07 09:52:52 | Found Archi model: MUNI FLOW.archimate
[CSV04] 2026-03-07 09:52:52 | Found Archi model: Testi.archimate
[CSV04] 2026-03-07 09:52:52 | Found OEF artifact: Architecture.xml
[CSV04] 2026-03-07 09:52:52 | Found OEF artifact: Importer.xml
[CSV04] 2026-03-07 09:52:52 | Found OEF artifact: MUNI EA Modell.xml
[CSV04] 2026-03-07 09:52:52 | Found OEF artifact: MUNI FLOW.xml
[CSV04] 2026-03-07 09:52:52 | Found OEF artifact: R+Muni Architecture Modell.xml
[CSV04] 2026-03-07 09:52:52 | Found XLSX artifact: R+MUNI ScopingPhase2_Value.xlsx
[CSV04] 2026-03-07 09:52:52 | Found XLSX artifact: R+Muni Architecture Modell.xlsx
[CSV04] 2026-03-07 09:52:52 | Flat source inventory written to run-scope.txt
